SETTLEMENTDATE,REGIONID,RRP
2025/06/30 04:05:00,NSW1,200.01
2025/06/30 04:10:00,NSW1,166.40724
2025/06/30 04:15:00,NSW1,161.80824
2025/06/30 04:20:00,NSW1,158.56966
2025/06/30 04:25:00,NSW1,198.23652
2025/06/30 04:30:00,NSW1,184.20441
2025/06/30 04:35:00,NSW1,161.05449
2025/06/30 04:40:00,NSW1,168.11219
2025/06/30 04:45:00,NSW1,198.97125
2025/06/30 04:50:00,NSW1,185.55582
2025/06/30 04:55:00,NSW1,174.46287
2025/06/30 05:00:00,NSW1,198.85
2025/06/30 05:05:00,NSW1,170.73912
2025/06/30 05:10:00,NSW1,200.01
2025/06/30 05:15:00,NSW1,242.15429
2025/06/30 05:20:00,NSW1,239.10699
2025/06/30 05:25:00,NSW1,188.59135
2025/06/30 05:30:00,NSW1,200.01
2025/06/30 05:35:00,NSW1,196.64753
2025/06/30 05:40:00,NSW1,200.01
2025/06/30 05:45:00,NSW1,219.45285
2025/06/30 05:50:00,NSW1,200.01
2025/06/30 05:55:00,NSW1,221.38776
2025/06/30 06:00:00,NSW1,256.83835
2025/06/30 06:05:00,NSW1,234.81832
2025/06/30 06:10:00,NSW1,293.22769
2025/06/30 06:15:00,NSW1,294.49602
2025/06/30 06:20:00,NSW1,294.07686
2025/06/30 06:25:00,NSW1,289.48093
2025/06/30 06:30:00,NSW1,299.99
2025/06/30 06:35:00,NSW1,241.85173
2025/06/30 06:40:00,NSW1,293.54451
2025/06/30 06:45:00,NSW1,299.99016
2025/06/30 06:50:00,NSW1,299.99016
2025/06/30 06:55:00,NSW1,299.99
2025/06/30 07:00:00,NSW1,299.99
2025/06/30 07:05:00,NSW1,299.99
2025/06/30 07:10:00,NSW1,299.99
2025/06/30 07:15:00,NSW1,299.99
2025/06/30 07:20:00,NSW1,365.08359
2025/06/30 07:25:00,NSW1,500.0
2025/06/30 07:30:00,NSW1,993.63
2025/06/30 07:35:00,NSW1,993.63
2025/06/30 07:40:00,NSW1,401.73639
2025/06/30 07:45:00,NSW1,329.6095
2025/06/30 07:50:00,NSW1,312.96476
2025/06/30 07:55:00,NSW1,372.69481
2025/06/30 08:00:00,NSW1,359.16358
2025/06/30 08:05:00,NSW1,299.99016
2025/06/30 08:10:00,NSW1,322.15852
2025/06/30 08:15:00,NSW1,312.55308
2025/06/30 08:20:00,NSW1,309.36106
2025/06/30 08:25:00,NSW1,304.64071
2025/06/30 08:30:00,NSW1,299.99
2025/06/30 08:35:00,NSW1,299.99
2025/06/30 08:40:00,NSW1,299.99
2025/06/30 08:45:00,NSW1,299.99
2025/06/30 08:50:00,NSW1,288.81689
2025/06/30 08:55:00,NSW1,273.26936
2025/06/30 09:00:00,NSW1,247.12183
2025/06/30 09:05:00,NSW1,249.05355
2025/06/30 09:10:00,NSW1,299.99
2025/06/30 09:15:00,NSW1,299.71016
2025/06/30 09:20:00,NSW1,230.81565
2025/06/30 09:25:00,NSW1,299.99
2025/06/30 09:30:00,NSW1,186.74277
2025/06/30 09:35:00,NSW1,240.60229
2025/06/30 09:40:00,NSW1,207.98043
2025/06/30 09:45:00,NSW1,214.75237
2025/06/30 09:50:00,NSW1,209.75242
2025/06/30 09:55:00,NSW1,228.54693
2025/06/30 10:00:00,NSW1,210.3192
2025/06/30 10:05:00,NSW1,182.60081
2025/06/30 10:10:00,NSW1,278.10738
2025/06/30 10:15:00,NSW1,279.99386
2025/06/30 10:20:00,NSW1,252.45547
2025/06/30 10:25:00,NSW1,266.86543
2025/06/30 10:30:00,NSW1,216.81869
2025/06/30 10:35:00,NSW1,201.1627
2025/06/30 10:40:00,NSW1,300.01
2025/06/30 10:45:00,NSW1,181.80521
2025/06/30 10:50:00,NSW1,202.22744
2025/06/30 10:55:00,NSW1,252.99754
2025/06/30 11:00:00,NSW1,173.63694
2025/06/30 11:05:00,NSW1,271.38996
2025/06/30 11:10:00,NSW1,247.01934
2025/06/30 11:15:00,NSW1,190.0
2025/06/30 11:20:00,NSW1,192.88088
2025/06/30 11:25:00,NSW1,196.7228
2025/06/30 11:30:00,NSW1,145.88957
2025/06/30 11:35:00,NSW1,188.30305
2025/06/30 11:40:00,NSW1,196.90806
2025/06/30 11:45:00,NSW1,154.20502
2025/06/30 11:50:00,NSW1,200.0
2025/06/30 11:55:00,NSW1,199.9
2025/06/30 12:00:00,NSW1,168.19923
2025/06/30 12:05:00,NSW1,176.54427
2025/06/30 12:10:00,NSW1,191.99223
2025/06/30 12:15:00,NSW1,178.07132
2025/06/30 12:20:00,NSW1,179.33962
2025/06/30 12:25:00,NSW1,175.62568
2025/06/30 12:30:00,NSW1,158.57802
2025/06/30 12:35:00,NSW1,149.8677
2025/06/30 12:40:00,NSW1,176.32967
2025/06/30 12:45:00,NSW1,193.10625
2025/06/30 12:50:00,NSW1,175.19051
2025/06/30 12:55:00,NSW1,120.33088
2025/06/30 13:00:00,NSW1,178.62223
2025/06/30 13:05:00,NSW1,159.87807
2025/06/30 13:10:00,NSW1,200.0
2025/06/30 13:15:00,NSW1,172.13802
2025/06/30 13:20:00,NSW1,158.25617
2025/06/30 13:25:00,NSW1,177.39598
2025/06/30 13:30:00,NSW1,178.75965
2025/06/30 13:35:00,NSW1,126.11575
2025/06/30 13:40:00,NSW1,126.30934
2025/06/30 13:45:00,NSW1,125.54404
2025/06/30 13:50:00,NSW1,107.63039
2025/06/30 13:55:00,NSW1,108.89
2025/06/30 14:00:00,NSW1,76.80003
